dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/chest_50.pickle,41,"[4.3168603e-07 3.4090769e-07 3.6357361e-07 ... 3.4173146e-07 2.5949990e-07
 2.2970367e-07]",0.768,26.425,38.132,2025-05-04 00:04:01
data/ct_data/chest_50.pickle,42,"[5.3316285e-07 2.9245047e-07 3.0672214e-07 ... 3.4121177e-07 3.8493570e-07
 4.6431666e-07]",0.769,26.434,38.628,2025-05-04 00:05:48
data/ct_data/chest_50.pickle,43,"[3.0576930e-07 4.3195897e-07 4.4673791e-07 ... 3.2162387e-07 4.2279345e-07
 4.5791202e-07]",0.771,26.497,37.459,2025-05-04 00:07:34
data/ct_data/chest_50.pickle,44,"[4.6653210e-07 3.2682215e-07 3.0161220e-07 ... 3.5429318e-07 1.6327209e-07
 2.7851931e-07]",0.772,26.509,38.566,2025-05-04 00:09:22
data/ct_data/chest_50.pickle,45,"[6.2088969e-07 3.1444125e-07 4.1331555e-07 ... 3.5313414e-07 3.6627574e-07
 4.6508762e-07]",0.774,26.559,38.281,2025-05-04 00:11:08
data/ct_data/chest_50.pickle,46,"[2.3868654e-07 2.6388253e-07 4.7973845e-07 ... 2.8022504e-07 4.0252260e-07
 9.8348937e-07]",0.775,26.581,37.911,2025-05-04 00:12:54
data/ct_data/chest_50.pickle,47,"[6.2173450e-07 3.9588173e-07 2.5665724e-07 ... 2.6253730e-07 3.8219540e-07
 3.6045330e-07]",0.778,26.656,36.744,2025-05-04 00:14:41
data/ct_data/chest_50.pickle,48,"[4.6618695e-07 2.4932532e-07 1.5584672e-07 ... 3.2683300e-07 3.9725731e-07
 5.1962792e-07]",0.777,26.597,38.008,2025-05-04 00:16:35
data/ct_data/chest_50.pickle,49,"[6.1205662e-07 2.6593506e-07 3.1780314e-07 ... 4.2531269e-07 2.0884511e-07
 4.6995811e-07]",0.781,26.738,36.664,2025-05-04 00:18:22
data/ct_data/chest_50.pickle,50,"[8.1569090e-07 4.3229002e-07 6.4416525e-07 ... 3.0593029e-07 3.3565328e-07
 6.0134778e-07]",0.779,26.678,37.541,2025-05-04 00:20:09
data/ct_data/chest_50.pickle,51,"[2.6166890e-07 3.5371343e-07 3.7915800e-07 ... 2.6084874e-07 2.4340420e-07
 3.8363839e-07]",0.783,26.782,37.414,2025-05-04 00:22:00
data/ct_data/chest_50.pickle,52,"[5.5025794e-07 3.2559146e-07 3.3087210e-07 ... 8.7356534e-07 3.0557010e-07
 3.2625547e-07]",0.782,26.72,36.797,2025-05-04 00:23:46
data/ct_data/chest_50.pickle,53,"[3.6620028e-07 6.3627704e-07 4.7577703e-07 ... 3.7073605e-07 3.8843172e-07
 4.2344212e-07]",0.786,26.861,36.701,2025-05-04 00:25:33
data/ct_data/chest_50.pickle,54,"[4.4314791e-07 2.4804353e-07 3.9111069e-07 ... 5.2304216e-07 3.8318433e-07
 4.0765681e-07]",0.784,26.822,36.969,2025-05-04 00:27:19
data/ct_data/chest_50.pickle,55,"[6.1301921e-07 3.4008619e-07 2.7464492e-07 ... 2.3416136e-07 3.8526420e-07
 2.7874796e-07]",0.788,26.956,36.502,2025-05-04 00:29:05
data/ct_data/chest_50.pickle,56,"[4.3776888e-07 6.0261021e-07 3.9595798e-07 ... 4.1932097e-07 4.3958462e-07
 4.1344327e-07]",0.786,26.839,37.041,2025-05-04 00:30:52
data/ct_data/chest_50.pickle,57,"[5.0589841e-07 2.3081125e-07 2.8608147e-07 ... 3.6455012e-07 3.9219643e-07
 3.5790501e-07]",0.788,26.99,35.783,2025-05-04 00:32:39
data/ct_data/chest_50.pickle,58,"[6.2620745e-07 3.3336303e-07 5.0589529e-07 ... 3.0551485e-07 2.8637714e-07
 5.9820650e-07]",0.787,26.899,36.688,2025-05-04 00:34:26
data/ct_data/chest_50.pickle,59,"[5.1785895e-07 3.2486597e-07 4.3957087e-07 ... 2.6429981e-07 6.5500399e-07
 6.9019717e-07]",0.789,27.028,36.45,2025-05-04 00:36:12
data/ct_data/chest_50.pickle,60,"[4.4384780e-07 4.0778480e-07 4.8325859e-07 ... 2.9057983e-07 3.3946361e-07
 2.1027381e-07]",0.789,26.951,36.963,2025-05-04 00:38:06
data/ct_data/chest_50.pickle,61,"[5.8569890e-07 4.4702756e-07 2.8914280e-07 ... 4.6286513e-07 3.3586912e-07
 3.3071959e-07]",0.787,27.061,35.812,2025-05-04 00:39:57
data/ct_data/chest_50.pickle,62,"[7.2062636e-07 4.6571742e-07 3.1156156e-07 ... 2.8614670e-07 2.9055641e-07
 2.2958552e-07]",0.789,26.951,37.129,2025-05-04 00:41:44
data/ct_data/chest_50.pickle,63,"[4.6232250e-07 1.3693351e-07 3.3990116e-07 ... 4.1976739e-07 2.5374288e-07
 4.9368424e-07]",0.786,26.97,36.667,2025-05-04 00:43:48
data/ct_data/chest_50.pickle,64,"[1.0258839e-06 2.8171266e-07 5.3257168e-07 ... 4.5417974e-07 2.6870194e-07
 4.9437369e-07]",0.787,26.881,37.631,2025-05-04 00:46:02
data/ct_data/chest_50.pickle,65,"[4.4944420e-07 3.0997265e-07 5.2111130e-07 ... 7.1758996e-07 3.9683627e-07
 5.3663337e-07]",0.788,26.984,37.008,2025-05-04 00:48:04
data/ct_data/chest_50.pickle,66,"[6.1211438e-07 2.9748725e-07 6.9962903e-07 ... 4.6755758e-07 5.5740890e-07
 3.1785601e-07]",0.789,26.929,37.364,2025-05-04 00:49:51
data/ct_data/chest_50.pickle,67,"[2.8751290e-07 2.6785176e-07 3.8454667e-07 ... 4.4968337e-07 5.4563736e-07
 3.2705648e-07]",0.789,27.01,37.401,2025-05-04 00:51:37
data/ct_data/chest_50.pickle,68,"[6.1842269e-07 4.0177994e-07 3.6701633e-07 ... 2.9581872e-07 1.9915578e-07
 3.7830253e-07]",0.788,26.905,37.103,2025-05-04 00:53:23
data/ct_data/chest_50.pickle,69,"[3.5066296e-07 6.0057721e-07 5.5876427e-07 ... 3.5434991e-07 2.9174834e-07
 3.9115963e-07]",0.795,27.134,35.937,2025-05-04 01:10:20
data/ct_data/chest_50.pickle,70,"[5.9302494e-07 3.2304433e-07 3.6866720e-07 ... 2.7958643e-07 3.3077274e-07
 7.8011465e-07]",0.795,27.039,36.773,2025-05-04 01:12:18
data/ct_data/chest_50.pickle,71,"[4.8063742e-07 2.8820244e-07 8.3077458e-07 ... 3.6207018e-07 3.2252331e-07
 3.9639858e-07]",0.797,27.127,36.981,2025-05-04 01:31:23
data/ct_data/chest_50.pickle,72,"[2.9065700e-07 1.9976169e-07 3.0621064e-07 ... 2.3827454e-07 3.7268040e-07
 5.2423673e-07]",0.795,27.107,36.251,2025-05-04 01:33:09
data/ct_data/chest_50.pickle,73,"[4.5259137e-07 3.3628618e-07 3.7360968e-07 ... 2.5392509e-07 3.7730476e-07
 2.4710502e-07]",0.8,27.285,34.65,2025-05-04 01:34:56
data/ct_data/chest_50.pickle,74,"[3.1843061e-07 4.4729870e-07 3.5621161e-07 ... 2.2179400e-07 5.4142993e-07
 3.6123248e-07]",0.798,27.253,36.427,2025-05-04 01:36:43
data/ct_data/chest_50.pickle,75,"[7.9742182e-07 3.1448246e-07 3.6514407e-07 ... 2.0732583e-07 1.6530292e-07
 2.7731770e-07]",0.802,27.327,34.941,2025-05-04 01:38:29
data/ct_data/chest_50.pickle,76,"[4.1916991e-07 3.4593620e-07 3.1631353e-07 ... 4.9934681e-07 4.8346186e-07
 2.9691245e-07]",0.801,27.295,35.875,2025-05-04 01:40:15
data/ct_data/chest_50.pickle,77,"[3.8957668e-07 3.0995969e-07 3.7421324e-07 ... 2.5865421e-07 1.9802499e-07
 3.0189381e-07]",0.804,27.43,35.23,2025-05-04 01:42:03
data/ct_data/chest_50.pickle,78,"[2.3765200e-07 4.7077322e-07 3.2117532e-07 ... 5.8422648e-07 4.4346120e-07
 2.9952557e-07]",0.801,27.33,35.854,2025-05-04 01:43:49
data/ct_data/chest_50.pickle,79,"[4.4327646e-07 2.6760645e-07 3.9769071e-07 ... 2.6943081e-07 2.6708295e-07
 3.2585294e-07]",0.805,27.448,34.639,2025-05-04 01:45:36
data/ct_data/chest_50.pickle,80,"[4.1270744e-07 3.4704198e-07 1.9998228e-07 ... 3.2221294e-07 2.1431372e-07
 4.8220511e-07]",0.804,27.45,34.862,2025-05-04 01:47:23
data/ct_data/chest_50.pickle,81,"[3.3118445e-07 4.9560936e-07 2.4103164e-07 ... 3.5454599e-07 1.5417318e-07
 4.4526067e-07]",0.807,27.539,33.605,2025-05-04 01:49:21
data/ct_data/chest_50.pickle,82,"[3.2238512e-07 2.4544161e-07 1.5882104e-07 ... 2.1732805e-07 1.7193567e-07
 3.9341046e-07]",0.807,27.531,34.249,2025-05-04 01:51:07
